[2025-02-04T06:37:48.398+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-02-04T06:37:48.417+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: directory_and_file_verification_dag.verify_file_reliability manual__2025-02-04T06:37:41.695582+00:00 [queued]>
[2025-02-04T06:37:48.427+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: directory_and_file_verification_dag.verify_file_reliability manual__2025-02-04T06:37:41.695582+00:00 [queued]>
[2025-02-04T06:37:48.428+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 1
[2025-02-04T06:37:48.445+0000] {taskinstance.py:2889} INFO - Executing <Task(BranchPythonOperator): verify_file_reliability> on 2025-02-04 06:37:41.695582+00:00
[2025-02-04T06:37:48.452+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=1258) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2025-02-04T06:37:49.016+0000] {logging_mixin.py:190} INFO - jean645888258', date_formatted
[2025-02-04T06:37:49.018+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-12
[2025-02-04T06:37:49.019+0000] {logging_mixin.py:190} INFO - jean645888258', date_formatted
[2025-02-04T06:37:49.022+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-17
[2025-02-04T06:37:49.022+0000] {logging_mixin.py:190} INFO - jean645888258', date_formatted
[2025-02-04T06:37:49.024+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-17
[2025-02-04T06:37:49.025+0000] {logging_mixin.py:190} INFO - jean645888258', date_formatted
[2025-02-04T06:37:49.027+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-28
[2025-02-04T06:37:49.028+0000] {logging_mixin.py:190} INFO - jean645888258', date_formatted
[2025-02-04T06:37:49.030+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-28
[2025-02-04T06:37:49.030+0000] {logging_mixin.py:190} INFO - jean645888258', date_formatted
[2025-02-04T06:37:49.033+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-27
[2025-02-04T06:37:49.033+0000] {logging_mixin.py:190} INFO - jean645888258', date_formatted
[2025-02-04T06:37:49.036+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-27
[2025-02-04T06:37:49.037+0000] {logging_mixin.py:190} INFO - jean645888258', date_formatted
[2025-02-04T06:37:49.040+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-27
[2025-02-04T06:37:49.040+0000] {logging_mixin.py:190} INFO - jean645888258', date_formatted
[2025-02-04T06:37:49.044+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-27
[2025-02-04T06:37:49.045+0000] {logging_mixin.py:190} INFO - jean645888258', date_formatted
[2025-02-04T06:37:49.048+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-27
[2025-02-04T06:37:49.048+0000] {logging_mixin.py:190} INFO - jean645888258', date_formatted
[2025-02-04T06:37:49.051+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-27
[2025-02-04T06:37:49.052+0000] {logging_mixin.py:190} INFO - jean645888258', date_formatted
[2025-02-04T06:37:49.056+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-27
[2025-02-04T06:37:49.056+0000] {logging_mixin.py:190} INFO - jean645888258', date_formatted
[2025-02-04T06:37:49.060+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-26
[2025-02-04T06:37:49.060+0000] {logging_mixin.py:190} INFO - jean645888258', date_formatted
[2025-02-04T06:37:49.064+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-26
[2025-02-04T06:37:49.064+0000] {logging_mixin.py:190} INFO - jean645888258', date_formatted
[2025-02-04T06:37:49.068+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-26
[2025-02-04T06:37:49.068+0000] {logging_mixin.py:190} INFO - jean645888258', date_formatted
[2025-02-04T06:37:49.072+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-26
[2025-02-04T06:37:49.073+0000] {logging_mixin.py:190} INFO - jean645888258', date_formatted
[2025-02-04T06:37:49.076+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-26
[2025-02-04T06:37:49.076+0000] {logging_mixin.py:190} INFO - jean645888258', date_formatted
[2025-02-04T06:37:49.079+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-26
[2025-02-04T06:37:49.080+0000] {logging_mixin.py:190} INFO - jean645888258', date_formatted
[2025-02-04T06:37:49.082+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-26
[2025-02-04T06:37:49.083+0000] {logging_mixin.py:190} INFO - jean645888258', date_formatted
[2025-02-04T06:37:49.085+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-24
[2025-02-04T06:37:49.086+0000] {logging_mixin.py:190} INFO - jean645888258', date_formatted
[2025-02-04T06:37:49.090+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-24
[2025-02-04T06:37:49.091+0000] {logging_mixin.py:190} INFO - jean645888258', date_formatted
[2025-02-04T06:37:49.093+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-24
[2025-02-04T06:37:49.094+0000] {logging_mixin.py:190} INFO - jean645888258', date_formatted
[2025-02-04T06:37:49.097+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-24
[2025-02-04T06:37:49.097+0000] {logging_mixin.py:190} INFO - jean645888258', date_formatted
[2025-02-04T06:37:49.099+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-24
[2025-02-04T06:37:49.100+0000] {logging_mixin.py:190} INFO - jean645888258', date_formatted
[2025-02-04T06:37:49.102+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-27
[2025-02-04T06:37:49.103+0000] {logging_mixin.py:190} INFO - jean645888258', date_formatted
[2025-02-04T06:37:49.106+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-27
[2025-02-04T06:37:49.107+0000] {logging_mixin.py:190} INFO - jean645888258', date_formatted
[2025-02-04T06:37:49.109+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-23
[2025-02-04T06:37:49.110+0000] {logging_mixin.py:190} INFO - jean645888258', date_formatted
[2025-02-04T06:37:49.112+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-23
[2025-02-04T06:37:49.113+0000] {logging_mixin.py:190} INFO - jean645888258', date_formatted
[2025-02-04T06:37:49.115+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-23
[2025-02-04T06:37:49.115+0000] {logging_mixin.py:190} INFO - jean645888258', date_formatted
[2025-02-04T06:37:49.118+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-23
[2025-02-04T06:37:49.118+0000] {logging_mixin.py:190} INFO - jean645888258', date_formatted
[2025-02-04T06:37:49.123+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-23
[2025-02-04T06:37:49.123+0000] {logging_mixin.py:190} INFO - jean645888258', date_formatted
[2025-02-04T06:37:49.126+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-26
[2025-02-04T06:37:49.127+0000] {logging_mixin.py:190} INFO - jean645888258', date_formatted
[2025-02-04T06:37:49.130+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-26
[2025-02-04T06:37:49.130+0000] {logging_mixin.py:190} INFO - jean645888258', date_formatted
[2025-02-04T06:37:49.133+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-26
[2025-02-04T06:37:49.133+0000] {logging_mixin.py:190} INFO - jean645888258', date_formatted
[2025-02-04T06:37:49.136+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-26
[2025-02-04T06:37:49.136+0000] {logging_mixin.py:190} INFO - jean645888258', date_formatted
[2025-02-04T06:37:49.139+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-26
